event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
5615,2019-02-08 05:47:01,1.9,OGS,None,36.55316667,-98.1595,6.52,0.21,0.21,0.6,None,Oklahoma,Alfalfa,Reviewed
5616,2019-02-08 06:21:42,0.8,OGS,None,36.5215,-99.03316667,9.31,1.41,1.41,3.3,None,Oklahoma,Woodward,Reviewed
5607,2019-02-08 07:01:37,1.9,OGS,None,36.31358337,-97.05675507,3.69,0.76,0.84,1.09,0.26174972,Oklahoma,Payne,Reviewed
5598,2019-02-08 13:02:09,3.3,OGS,None,36.55459595,-98.14977264,3.56,0.8,0.64,0.89,0.15730749,Oklahoma,Alfalfa,Reviewed
5618,2019-02-08 16:20:18,1.3,OGS,None,36.44983333,-98.77266667,8.8,0.28,0.28,0.5,None,Oklahoma,Major,Reviewed
5725,2019-02-08 17:17:06,1.5,OGS,None,36.46583333,-98.83616667,5.56,0.35,0.35,1.0,None,Oklahoma,Woodward,Reviewed
5722,2019-02-08 23:02:30,2.8,OGS,None,36.28194809,-97.508461,3.57,0.68,0.62,0.9,0.13882892,Oklahoma,Noble,Reviewed
5736,2019-02-09 05:35:10,1.8,OGS,None,36.61140442,-98.36508179,4.5,1.85,1.14,1.66,0.41978848,Oklahoma,Alfalfa,Reviewed
5629,2019-02-09 07:13:42,1.8,OGS,None,33.09242249,-100.5989151,5.0,1.76,1.3,0.0,0.25788202,Texas,Kent,Preliminary
5719,2019-02-09 09:39:38,2.7,OGS,None,36.60966667,-98.369,2.87,0.21,0.21,0.7,None,Oklahoma,Alfalfa,Reviewed
5738,2019-02-09 13:51:06,1.3,OGS,None,36.44116667,-98.78833333,8.52,0.28,0.28,0.4,None,Oklahoma,Major,Reviewed
5716,2019-02-09 18:47:07,3.1,OGS,None,35.81746674,-98.25841522,3.5,0.7,0.75,1.03,0.14941707,Oklahoma,Blaine,Reviewed
5713,2019-02-09 22:42:43,2.5,OGS,None,35.9615,-97.35033333,7.3,0.14,0.14,0.5,None,Oklahoma,Logan,Reviewed
